custom/status_overtake_max,rollout/ep_rew_mean,time/fps,custom/status_collision_mean,rollout/ep_len_mean,time/total_timesteps,custom/status_speed_avg,custom/reward_speed,time/time_elapsed,time/iterations,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/explained_variance,train/std,train/entropy_loss
0,395.2583468300001,599,0.0,242.83,1359872,34.24919514906166,0.5708199191510277,2267,83,0.009968222,0.0005,0.0002302294618857559,820,58.787779319286344,0.116436767578125,0.2,23.29006004333496,0.8282853364944458,1.112013578414917,-2.898163189738989
0,348.31133128,599,0.0,209.16,1376256,36.4627092106595,0.6077118201776583,2295,84,0.018312922,0.0005,-0.0005166186896531144,830,71.37636759281159,0.114373779296875,0.2,33.575439453125,0.7982651591300964,1.1363428831100464,-2.926933781802654
0,334.96520833,599,0.0,200.58,1392640,34.99469085242235,0.5832448475403726,2322,85,0.0065390486,0.0005,-0.0030897474334778963,840,100.43194262981415,0.0782958984375,0.2,43.153465270996094,0.7166520953178406,1.154447078704834,-2.95249789878726
0,344.2603926,599,0.0,209.03,1409024,35.443163121070015,0.590719385351167,2350,86,0.009395594,0.0005,-0.0023898568288132083,850,82.78849842548371,0.085028076171875,0.2,32.83224868774414,0.758639931678772,1.1720749139785767,-2.972489305585623
0,387.28581928999995,599,0.0,243.93,1425408,32.03766960006661,0.53396116000111,2378,87,0.006515341,0.0005,-0.0017859562063677003,860,83.31323490142822,0.090618896484375,0.2,38.28159713745117,0.7631435394287109,1.1952531337738037,-3.0039425030350686
0,392.89065224999996,599,0.0,256.74,1441792,31.734998197003257,0.528916636616721,2405,88,0.0069784313,0.0005,-0.002779489817112335,870,64.57778049707413,0.082696533203125,0.2,31.01188087463379,0.7997377514839172,1.2110230922698975,-3.0248177498579025
0,378.49853357999996,599,0.0,239.55,1458176,34.70550280504591,0.578425046750765,2433,89,0.018069953,0.0005,0.0033926867741683963,880,66.11743446588517,0.15029296875,0.2,40.18681335449219,0.7922046780586243,1.2269301414489746,-3.0333449847996237
0,346.29212474,599,0.0,214.73,1474560,33.810569486221446,0.5635094914370241,2460,90,0.006680539,0.0005,-0.0037784275351441464,890,78.88455225229264,0.07174072265625,0.2,41.913211822509766,0.791961669921875,1.2502317428588867,-3.0677867218852044
0,384.54243945,599,0.0,245.88,1490944,33.412177147852844,0.5568696191308807,2487,91,0.006773402,0.0005,-0.002515685669641243,900,66.14626655578613,0.088775634765625,0.2,30.644758224487305,0.792633056640625,1.2753665447235107,-3.0959161795675754
0,382.18674194,599,0.0,242.04,1507328,32.98573837376494,0.5497623062294157,2516,92,0.010304257,0.0005,0.003036793188584852,910,65.31451148986817,0.147149658203125,0.2,30.876667022705078,0.7809982299804688,1.2917449474334717,-3.1149400934576987
0,393.65508868999996,598,0.0,254.0,1523712,33.31221743154822,0.5552036238591371,2544,93,0.008665787,0.0005,-0.004599976854660781,920,70.72225110530853,0.0899658203125,0.2,38.39712905883789,0.7625974416732788,1.295774221420288,-3.1317784756422045
0,353.66428433,598,0.0,227.88,1540096,32.323813224342025,0.5387302204057004,2573,94,0.0073309625,0.0005,-0.0017252489109523595,930,72.52147676944733,0.092547607421875,0.2,36.99484634399414,0.7907342314720154,1.3128825426101685,-3.1383085511624813
0,386.2886052100002,598,0.0,252.81,1556480,31.941413461008914,0.5323568910168152,2601,95,0.007868968,0.0005,-0.0027759379518101923,940,66.94479665756225,0.112774658203125,0.2,40.60135269165039,0.8036969900131226,1.3297758102416992,-3.1577342472970487
0,409.7226178100001,598,0.0,267.74,1572864,32.94681480466523,0.5491135800777538,2628,96,0.0076723695,0.0005,-0.0024021018065468525,950,57.749828732013704,0.089599609375,0.2,29.129390716552734,0.8237584829330444,1.3282058238983154,-3.158452716469765
0,380.2585352599999,598,0.0,235.77,1589248,33.91979181120284,0.5653298635200474,2656,97,0.005749028,0.0005,-0.002389663562644273,960,60.13464553356171,0.0820556640625,0.2,23.374683380126953,0.8002555966377258,1.3400380611419678,-3.164255990087986
0,375.63109896999987,598,0.0,232.6,1605632,33.943363886248974,0.5657227314374829,2684,98,0.009013483,0.0005,-0.0027168350343345082,970,69.22153120040893,0.082427978515625,0.2,23.120786666870117,0.799865186214447,1.3601104021072388,-3.178464386612177
