rollout/ep_len_mean,time/total_timesteps,custom/reward_speed,custom/status_collision_mean,custom/status_speed_avg,time/time_elapsed,time/fps,custom/status_overtake_max,time/iterations,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
262.91,8273920,0.601758294624549,0.0,36.10549767747294,5496,593,0,199,453.08059654000004,0.2,67.02958223819732,0.0005,0.827029824256897,5040,-6.990017817914486,0.007117432,59.81690216064453,-0.0028361121116176947,29.960500717163086,0.071331787109375
285.87,8290304,0.59763035129599,0.0,35.85782107775939,5525,593,0,200,481.09163648000003,0.2,76.60323925018311,0.0005,0.7977946400642395,5050,-6.984232361614704,0.008950798,59.24052047729492,-0.002812075527617708,33.54680252075195,0.071112060546875
280.04,8306688,0.6055789351778738,0.0,36.334736110672424,5554,592,0,201,477.07676303,0.2,71.15056166648864,0.0005,0.8218809366226196,5060,-6.974369472265243,0.009164639,58.91836929321289,-0.00453219203518529,28.453460693359375,0.074798583984375
305.13,8323072,0.6269258036045929,0.0,37.61554821627557,5584,592,0,202,527.59078232,0.2,67.97395193576813,0.0005,0.8036595582962036,5070,-6.980071464180947,0.0065431218,58.89974594116211,-0.00265297665973776,31.68233871459961,0.080303955078125
268.9,8339456,0.6549081643977505,0.0,39.294489863865024,5613,592,0,203,482.62663846,0.2,76.1576810002327,0.0005,0.8201905488967896,5080,-6.968852746486664,0.007592514,57.951080322265625,-0.005038257632259046,32.98711395263672,0.06435546875
254.05,8355840,0.6540677981030174,0.0,39.24406788618104,5640,592,0,204,466.76708551,0.2,87.79500185251236,0.0005,0.7816036939620972,5090,-6.962217503786087,0.006304778,57.81126403808594,-0.00623361625475809,42.120330810546875,0.058941650390625
235.31,8372224,0.6331838097816778,0.0,37.991028586900654,5670,592,0,205,428.7887918800001,0.2,95.06478427648544,0.0005,0.7825098037719727,5100,-6.9633651077747345,0.0096064415,58.59891128540039,-0.0013097154353090446,40.36335754394531,0.088616943359375
244.0,8388608,0.6359251886709971,0.0,38.15551132025983,5698,592,0,206,445.36619056999996,0.2,111.23147797584534,0.0005,0.7696830630302429,5110,-6.972569435834885,0.0053327563,59.241844177246094,-0.00476173005590681,51.44355392456055,0.05430908203125
235.49,8404992,0.6598255409684801,0.0,39.589532458108806,5727,592,0,207,427.89746021999997,0.2,93.27600072622299,0.0005,0.7782070636749268,5120,-6.978362525999546,0.0061536403,59.1965217590332,-0.003297328911503428,43.25934982299805,0.065557861328125
241.82,8421376,0.6337346086603013,0.0,38.02407651961808,5756,592,0,208,433.53396384,0.2,104.09416489601135,0.0005,0.7626121640205383,5130,-6.975719504058361,0.007198124,59.625091552734375,-0.0059737637478974644,40.1518669128418,0.070416259765625
249.56,8437760,0.6783417603050041,0.0,40.700505618300255,5785,591,0,209,458.07979644999995,0.2,94.77187247276306,0.0005,0.7667546272277832,5140,-6.97882317006588,0.00782837,59.69207763671875,-0.004439390669722343,36.024314880371094,0.074468994140625
231.03,8454144,0.6606852715532123,0.0,39.64111629319274,5815,591,0,210,435.31990150999997,0.2,100.42240681648255,0.0005,0.7607106566429138,5150,-6.952130430936814,0.005752641,58.983585357666016,-0.006697212853396195,41.3140754699707,0.064959716796875
266.87,8470528,0.6511047486175191,0.0,39.066284917051135,5845,591,0,211,493.00583331999997,0.2,95.1887642621994,0.0005,0.7744112014770508,5160,-6.9441127762198445,0.004535691,59.11649703979492,-0.0025124387222604126,50.944305419921875,0.06019287109375
